07/14/16 15:42:11:291.000  - [491793] TRACE - Model: iPad5,3 [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:109]
07/14/16 15:42:11:297.000  - [491793] TRACE - Serial: 56335F086F3446F7B8A86FA94E2DD7DD [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:111]
07/14/16 15:42:11:298.000  - [491793] ERROR - GetMobileScreenSize failed! The device is not supported. [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSBase.mm:477]
07/14/16 15:42:11:298.000  - [491793] TRACE - Leave MojingSDK_API_Init [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:75]
07/14/16 15:59:17:118.000  - [492525] TRACE - Enter MojingSDK_API_Init [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:75]
07/14/16 15:59:17:118.000  - [492525] TRACE - Init under MAC OS [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:77]
07/14/16 15:59:17:118.000  - [492525] TRACE - Init under iOS [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:85]
07/14/16 15:59:17:118.000  - [492525] TRACE - Init under IPHONE [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:88]
07/14/16 15:59:17:118.000  - [492525] TRACE - Brand: Apple [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:107]
07/14/16 15:59:17:118.000  - [492525] WARN - GetMobileModelName failed [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSBase.mm:414]
07/14/16 15:59:17:118.000  - [492525] TRACE - Model: iPad5,3 [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:109]
07/14/16 15:59:17:124.000  - [492525] TRACE - Serial: 56335F086F3446F7B8A86FA94E2DD7DD [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:111]
07/14/16 15:59:17:125.000  - [492525] ERROR - GetMobileScreenSize failed! The device is not supported. [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSBase.mm:477]
07/14/16 15:59:17:125.000  - [492525] TRACE - Leave MojingSDK_API_Init [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:75]
07/14/16 16:17:49:054.000  - [494795] TRACE - Enter MojingSDK_API_Init [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:75]
07/14/16 16:17:49:054.000  - [494795] TRACE - Init under MAC OS [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:77]
07/14/16 16:17:49:054.000  - [494795] TRACE - Init under iOS [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:85]
07/14/16 16:17:49:054.000  - [494795] TRACE - Init under IPHONE [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:88]
07/14/16 16:17:49:054.000  - [494795] TRACE - Brand: Apple [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:107]
07/14/16 16:17:49:054.000  - [494795] WARN - GetMobileModelName failed [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSBase.mm:414]
07/14/16 16:17:49:054.000  - [494795] TRACE - Model: iPad5,3 [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:109]
07/14/16 16:17:49:057.000  - [494795] TRACE - Serial: 56335F086F3446F7B8A86FA94E2DD7DD [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:111]
07/14/16 16:17:49:057.000  - [494795] ERROR - GetMobileScreenSize failed! The device is not supported. [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSBase.mm:477]
07/14/16 16:17:49:058.000  - [494795] TRACE - Leave MojingSDK_API_Init [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:75]
07/14/16 17:42:46:797.000  - [503394] TRACE - Enter MojingSDK_API_Init [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:75]
07/14/16 17:42:46:797.000  - [503394] TRACE - Init under MAC OS [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:77]
07/14/16 17:42:46:797.000  - [503394] TRACE - Init under iOS [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:85]
07/14/16 17:42:46:797.000  - [503394] TRACE - Init under IPHONE [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:88]
07/14/16 17:42:46:797.000  - [503394] TRACE - Brand: Apple [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:107]
07/14/16 17:42:46:797.000  - [503394] WARN - GetMobileModelName failed [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSBase.mm:414]
07/14/16 17:42:46:797.000  - [503394] TRACE - Model: iPad5,3 [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:109]
07/14/16 17:42:46:801.000  - [503394] TRACE - Serial: 56335F086F3446F7B8A86FA94E2DD7DD [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:111]
07/14/16 17:42:46:801.000  - [503394] ERROR - GetMobileScreenSize failed! The device is not supported. [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSBase.mm:477]
07/14/16 17:42:46:801.000  - [503394] TRACE - Leave MojingSDK_API_Init [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:75]
07/14/16 17:52:26:608.000  - [506115] TRACE - Enter MojingSDK_API_Init [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:75]
07/14/16 17:52:26:608.000  - [506115] TRACE - Init under MAC OS [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:77]
07/14/16 17:52:26:608.000  - [506115] TRACE - Init under iOS [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:85]
07/14/16 17:52:26:608.000  - [506115] TRACE - Init under IPHONE [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:88]
